[Angel]
(54, 32, 18)
(54, 59, 187)
(54, 140, 155)
(55, 17, 114)
(55, 64, 158)
(55, 64, 194)
(56, 26, 76)
(56, 111, 63)
(56, 165, 122)
(57, 28, 126)
(57, 32, 198)
(57, 41, 81)
(57, 70, 144)
(57, 102, 37)
(57, 119, 29)
(57, 130, 97)
(58, 28, 175)
(58, 35, 83)
(58, 69, 104)
(58, 74, 71)
(58, 82, 190)
(58, 85, 62)
(58, 104, 47)
(58, 167, 103)
(59, 26, 70)
(59, 28, 77)
(59, 43, 31)
(59, 46, 153)
(59, 68, 159)
(59, 157, 197)
(60, 73, 44)
(60, 112, 73)
(60, 137, 125)
(61, 124, 151)
(61, 125, 121)
(61, 165, 66)
(61, 196, 170)
(62, 3, 118)
(62, 3, 128)
(62, 92, 6)
(62, 112, 113)
(62, 130, 54)
(62, 131, 38)
(62, 169, 53)
(63, 6, 65)
(63, 81, 82)
(63, 84, 3)
(63, 86, 113)
(63, 94, 145)
(63, 120, 198)
(64, 3, 186)
(64, 27, 146)
(64, 33, 137)
(64, 82, 73)
(64, 140, 163)
(64, 143, 20)
(64, 166, 156)
(65, 20, 34)
(65, 47, 104)
(65, 160, 58)
(65, 170, 199)
(65, 173, 31)
(65, 174, 135)
(66, 72, 98)
(66, 124, 69)
(66, 137, 28)
(67, 82, 6)
(67, 113, 86)
(67, 161, 85)
(67, 180, 87)
(67, 183, 133)
(68, 10, 60)
(68, 29, 69)
(69, 8, 78)
(69, 45, 25)
(69, 126, 185)
(70, 79, 50)
(70, 98, 137)
(70, 145, 96)
(70, 155, 50)
(70, 159, 77)
(71, 56, 56)
(71, 89, 132)
(71, 107, 157)
(71, 142, 68)
(71, 146, 108)
(71, 180, 185)
(72, 36, 177)
(72, 55, 20)
(72, 132, 38)
(72, 141, 149)
(73, 27, 180)
(73, 112, 169)
(73, 176, 79)
(73, 184, 12)
(74, 37, 158)
(74, 39, 73)
(75, 106, 32)
(75, 113, 146)
(75, 115, 172)
(75, 198, 198)
(76, 0, 14)
(76, 61, 128)
(76, 91, 196)
(77, 29, 50)
(77, 33, 163)
(77, 42, 56)
(77, 84, 37)
(77, 131, 148)
(77, 169, 42)
(78, 2, 83)
(78, 21, 116)
(78, 71, 75)
(78, 136, 33)
(78, 138, 14)
(79, 12, 191)
(79, 13, 146)
(79, 159, 140)
(80, 18, 47)
(80, 41, 100)
(80, 88, 123)
(80, 143, 197)
(80, 161, 154)
(81, 12, 44)
(81, 79, 125)
(81, 88, 180)
(81, 194, 70)
(82, 0, 136)
(82, 10, 97)
(82, 48, 178)
(82, 49, 183)
(82, 124, 51)
(82, 142, 142)
(82, 189, 136)
(83, 74, 190)
(83, 85, 129)
(83, 136, 113)
(83, 158, 20)
(83, 158, 61)
(83, 167, 151)
(84, 65, 178)
(84, 68, 3)
(84, 72, 52)
(84, 111, 160)
(84, 154, 151)
(84, 158, 187)
(85, 4, 115)
(85, 170, 61)
(85, 195, 167)
(86, 18, 131)
(86, 61, 63)
(86, 143, 12)
(86, 149, 40)
(87, 11, 101)
(87, 32, 95)
(87, 35, 60)
(87, 60, 48)
(87, 65, 43)
(87, 72, 161)
(88, 35, 61)
(88, 55, 6)
